"Direction","Year","Date","Weekday","Country","Commodity","Transport_Mode","Measure","Value","Cumulative"
"Reimports","2018","23/12/2018","Sunday","All","All","All","$","0","195000000"
"Reimports","2018","26/12/2018","Wednesday","All","All","All","$","0","196000000"
"Reimports","2018","27/12/2018","Thursday","All","All","All","$","0","196000000"
"Reimports","2018","29/12/2018","Saturday","All","All","All","$","0","197000000"
"Reimports","2018","30/12/2018","Sunday","All","All","All","$","0","197000000"
"Reimports","2018","31/12/2018","Monday","All","All","All","$","0","197000000"
"Reimports","2018","08/01/2018","Monday","All","All","All","$","1000000","2000000"
"Reimports","2018","11/01/2018","Thursday","All","All","All","$","1000000","3000000"
"Reimports","2018","16/01/2018","Tuesday","All","All","All","$","1000000","4000000"
"Reimports","2018","23/01/2018","Tuesday","All","All","All","$","1000000","10000000"
"Reimports","2018","24/01/2018","Wednesday","All","All","All","$","1000000","11000000"
"Reimports","2018","26/01/2018","Friday","All","All","All","$","1000000","12000000"
"Reimports","2018","29/01/2018","Monday","All","All","All","$","1000000","13000000"
"Reimports","2018","01/02/2018","Thursday","All","All","All","$","1000000","15000000"
"Reimports","2018","02/02/2018","Friday","All","All","All","$","1000000","15000000"
"Reimports","2018","05/02/2018","Monday","All","All","All","$","1000000","16000000"
"Reimports","2018","07/02/2018","Wednesday","All","All","All","$","1000000","17000000"
"Reimports","2018","12/02/2018","Monday","All","All","All","$","1000000","19000000"
"Reimports","2018","13/02/2018","Tuesday","All","All","All","$","1000000","20000000"
"Reimports","2018","15/02/2018","Thursday","All","All","All","$","1000000","21000000"
"Reimports","2018","16/02/2018","Friday","All","All","All","$","1000000","22000000"
"Reimports","2018","20/02/2018","Tuesday","All","All","All","$","1000000","23000000"
"Reimports","2018","22/02/2018","Thursday","All","All","All","$","1000000","24000000"
"Reimports","2018","23/02/2018","Friday","All","All","All","$","1000000","25000000"
"Reimports","2018","26/02/2018","Monday","All","All","All","$","1000000","26000000"
"Reimports","2018","27/02/2018","Tuesday","All","All","All","$","1000000","28000000"
"Reimports","2018","02/03/2018","Friday","All","All","All","$","1000000","30000000"
"Reimports","2018","05/03/2018","Monday","All","All","All","$","1000000","31000000"
"Reimports","2018","07/03/2018","Wednesday","All","All","All","$","1000000","32000000"
"Reimports","2018","08/03/2018","Thursday","All","All","All","$","1000000","33000000"
"Reimports","2018","09/03/2018","Friday","All","All","All","$","1000000","34000000"
"Reimports","2018","12/03/2018","Monday","All","All","All","$","1000000","36000000"
"Reimports","2018","20/03/2018","Tuesday","All","All","All","$","1000000","38000000"
"Reimports","2018","21/03/2018","Wednesday","All","All","All","$","1000000","39000000"
"Reimports","2018","28/03/2018","Wednesday","All","All","All","$","1000000","41000000"
"Reimports","2018","03/04/2018","Tuesday","All","All","All","$","1000000","43000000"
"Reimports","2018","05/04/2018","Thursday","All","All","All","$","1000000","45000000"
"Reimports","2018","11/04/2018","Wednesday","All","All","All","$","1000000","47000000"
"Reimports","2018","12/04/2018","Thursday","All","All","All","$","1000000","49000000"
"Reimports","2018","13/04/2018","Friday","All","All","All","$","1000000","49000000"
"Reimports","2018","16/04/2018","Monday","All","All","All","$","1000000","50000000"
"Reimports","2018","17/04/2018","Tuesday","All","All","All","$","1000000","51000000"
"Reimports","2018","19/04/2018","Thursday","All","All","All","$","1000000","53000000"
"Reimports","2018","23/04/2018","Monday","All","All","All","$","1000000","65000000"
"Reimports","2018","24/04/2018","Tuesday","All","All","All","$","1000000","66000000"
"Reimports","2018","26/04/2018","Thursday","All","All","All","$","1000000","67000000"
"Reimports","2018","02/05/2018","Wednesday","All","All","All","$","1000000","70000000"
"Reimports","2018","03/05/2018","Thursday","All","All","All","$","1000000","71000000"
"Reimports","2018","07/05/2018","Monday","All","All","All","$","1000000","72000000"
"Reimports","2018","09/05/2018","Wednesday","All","All","All","$","1000000","73000000"
"Reimports","2018","10/05/2018","Thursday","All","All","All","$","1000000","74000000"
"Reimports","2018","11/05/2018","Friday","All","All","All","$","1000000","75000000"
"Reimports","2018","15/05/2018","Tuesday","All","All","All","$","1000000","79000000"
"Reimports","2018","16/05/2018","Wednesday","All","All","All","$","1000000","80000000"
"Reimports","2018","18/05/2018","Friday","All","All","All","$","1000000","83000000"
"Reimports","2018","21/05/2018","Monday","All","All","All","$","1000000","83000000"
"Reimports","2018","23/05/2018","Wednesday","All","All","All","$","1000000","85000000"
"Reimports","2018","25/05/2018","Friday","All","All","All","$","1000000","86000000"
"Reimports","2018","30/05/2018","Wednesday","All","All","All","$","1000000","88000000"
"Reimports","2018","01/06/2018","Friday","All","All","All","$","1000000","89000000"
"Reimports","2018","08/06/2018","Friday","All","All","All","$","1000000","93000000"
"Reimports","2018","12/06/2018","Tuesday","All","All","All","$","1000000","94000000"
"Reimports","2018","13/06/2018","Wednesday","All","All","All","$","1000000","95000000"
"Reimports","2018","14/06/2018","Thursday","All","All","All","$","1000000","96000000"
"Reimports","2018","19/06/2018","Tuesday","All","All","All","$","1000000","97000000"
"Reimports","2018","20/06/2018","Wednesday","All","All","All","$","1000000","98000000"
"Reimports","2018","22/06/2018","Friday","All","All","All","$","1000000","99000000"
"Reimports","2018","26/06/2018","Tuesday","All","All","All","$","1000000","100000000"
"Reimports","2018","02/07/2018","Monday","All","All","All","$","1000000","102000000"
"Reimports","2018","03/07/2018","Tuesday","All","All","All","$","1000000","102000000"
